priority_candidate,name,city,typology,typology_detail,segment,channel,project_role,physical_exhibition,exhibition_evidence,price_range,price_signal,service_scope,email,phone,address,main_channel,source_language,source_url,materials_brands_mentioned,key_messages,raw_notes
No,Binokor-Komfort LTD,Andijan,Contractor,,D. Contractors / EPC Firms,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (D. Contractors / EPC Firms) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Not determinable,,+998 (90) 544-XX-XX,"Andijan region, Andijan, Yuldashev St. 35",Website,Russian,https://www.goldenpages.uz/en/rubrics/?Id=3901,,"""Komfort"" (comfort) branding in company name suggests residential renovation/finishing focus | Listed as construction/construction-repair organization in Andijan",Phone partially masked by directory. Name suggests comfort/finishing-oriented contractor rather than heavy civil works.
No,Premier-Group Stroy LTD,Andijan,Contractor,,D. Contractors / EPC Firms,Retail,,Not determinable,,High,"Name signals premium positioning (""Premier-Group"")",Not determinable,,+998 (93) 571-XX-XX,"Andijan region, Andijan, Mukanna St. 15",Website,Russian,https://www.goldenpages.uz/en/rubrics/?Id=3901,,"""Premier"" branding suggests upscale positioning | Listed as construction/construction-repair organization in Andijan",Phone partially masked by directory. Name is the strongest premium-positioning signal among the Golden Pages contractor listings.
No,Gulshan Savdo Elit LTD,Andijan,Contractor,,D. Contractors / EPC Firms,Retail,,Not determinable,,High,"Name signals premium positioning (""Elit"")",Not determinable,,+998 (91) 610-XX-XX,"Andijan region, Andijan district, Khakan l.g.c.",Website,Russian,https://www.goldenpages.uz/en/rubrics/?Id=3901,,"""Elit"" in company name suggests premium/upscale positioning | Listed as construction/construction-repair organization in Andijan, with posted business hours (09:00-18:00)",Phone partially masked by directory.
No,Andijon Mebel (@mebel_andijan),Andijan,Kitchen,,B. Premium Kitchen & Custom Furniture Studios,Retail,,Not determinable,"Furniture manufacturer/retailer likely operates a physical shop/showroom given 15 years in business, but no address confirmed.",Medium,"v2.0: inferred from segment positioning (B. Premium Kitchen & Custom Furniture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design+Install+Supply,,+998 88 832 0707,Andijan (exact street address not found),Instagram,Russian/Uzbek,https://www.instagram.com/andijon_mebell_/,,"15 years of experience, 1000+ satisfied customers | Custom-made furniture including kitchens | Delivery across Uzbekistan, Kyrgyzstan, Kazakhstan and Tajikistan","Two related Instagram handles found: @mebel_andijan and @andijon_mebell_ (8,103 followers), plus a Golden Pages listing (""ANDIJON MEBEL"" OOO, Ahmadbekhodji St. 72, Andijan). Likely the same or affiliated business; treated as one entity here."
No,Andijon Mebel Fabrikasi XK,Andijan,Hybrid,"Kitchen & Bath (furniture factory covering kitchen, bathroom, bedroom, living room, office and garden furniture)",D. Contractors / EPC Firms,Retail,,Not determinable,"Operates as a furniture factory (""fabrikasi"") with an e-commerce catalog; likely has a factory outlet/showroom but not confirmed.",Medium,"v2.0: inferred from segment positioning (D. Contractors / EPC Firms) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design+Install+Supply,,+998 93 410 05 51 / +998 91 479 48 42,"Andijan region, Andijan city",Website,Uzbek/Russian,https://anmebelfab.gl.uz/contact/,,"Furniture manufacturer with product lines spanning kitchen, bathroom, bedroom, living room, entryway, office and garden furniture | Operates own e-commerce website with multiple furniture collections","Closest match found to a combined ""Kitchen & Bath"" studio typology in Andijan, since its catalog explicitly spans both kitchen and bathroom furniture lines. No dedicated interior design service confirmed."
No,Sarkor Yuksak Rivoj OOO,Andijan,Kitchen,Custom furniture manufacturing (“изготовление мебели на заказ”),B. Premium Kitchen & Custom Furniture Studios,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (B. Premium Kitchen & Custom Furniture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design+Install+Supply,syr1212@mail.ru,Partially masked in directory,"Andijan region, Andijan, Sudzhaat St. 38",Website,Russian,https://top.uz/section/mebel/andijan,,Custom furniture manufacturing on request,"Only furniture company with a complete listing (name, address, email) in the Top.uz Andijan furniture directory."
No,Imperial Granite / Andijon Kozimjon Mramorlari,Andijan,Hybrid,"Premium materials showroom + quarrying/processing (natural stone: marble, granite, onyx, travertine, quartzite)",A. Premium Materials & Bath Showrooms,Retail,,Not determinable,"Company operates a stone-cutting/polishing facility (""ANDIJON KOZIMJON MRAMORLARI"") in Andijan city; unclear if it includes a customer-facing showroom or is production-only.",High,"Positions on competitive/best-market pricing rather than premium/import branding — a domestic natural-stone processor, not a premium imported-surfaces retailer",Design+Install+Supply,imperial_granit@mail.ru,+998 99 307 55 55 / +998 97 017 55 55,"Group HQ: Yangiyo'l, Tashkent region; Andijan facility referred to as ""ANDIJON KOZIMJON MRAMORLARI""",Website,Russian/Uzbek,https://imperialgranite.uz,"Natural granite, marble, onyx, travertine, quartzite, agate (own-quarried, not international premium brands)","Vertically integrated: extraction, cutting, polishing and distribution, avoiding middleman markups | 350+ completed projects since 2000, 85 staff | Products: slabs, facade cladding, windowsills, pavers, countertops, stairs, columns","This is the only natural-stone (marble/granite) company found with a confirmed processing facility physically located in Andijan city, via a case study on a web agency's site (oqila.uz) referencing imperialgranite.uz. Group headquarters and likely main showroom are in Tashkent region (Yangiyo'l); the Andijan site appears production/quarry-oriented. A potential competitor/incumbent in the natural stone space rather than a pure premium-import showroom — could also be a channel partner given its cutting/fabrication capability."
No,Arhitektor.uz,Andijan,Architecture Studio,Tashkent-headquartered architecture/design bureau with a completed project in Andijan,C. Boutique Interior Design & Architecture Studios,Retail,,No,"Studio/office model, project-based; no indication of a physical materials showroom.",Medium,Not determinable,Design+Build,,,HQ Tashkent; portfolio includes a private two-story house project in Andijan,Website,Russian,https://arhitektor.uz/,,10 years creating design projects for residential and commercial spaces | Portfolio includes a private two-story house in Andijan | Full architecture + interior design service offering,"IMPORTANT CAVEAT: this bureau is Tashkent-based, not an Andijan-local business — it is included as the best available evidence of professional architecture services being delivered to Andijan clients, since no architecture bureau physically headquartered in Andijan could be confirmed despite extensive multi-language searching (Russian, Uzbek, English) across web, Instagram, Facebook and Telegram. This is flagged as a genuine market gap: Andijan appears to lack a distinct, independently discoverable architecture-studio segment; residential design in the city appears to be handled either by developers' in-house teams, Tashkent-based bureaus taking remote/regional commissions, or informal/freelance designers active mainly on Telegram and Instagram who were not individually identifiable via search."
No,Cross Works Ltd,Tashkent,Architecture Studio,,C. Boutique Interior Design & Architecture Studios,Projects - New Tashkent,"Overall masterplanner and lead consultant for New Tashkent; authored the District 1 Detailed Masterplan (approved June 2024) and oversees a multi-firm consortium (Buro Happold, Gillespies, BuroAtlas, KPMG Uzbekistan and others) delivering the city's digital twin and urban design.",Not determinable,"UK-based design studio (London); no evidence of a physical showroom/exhibition space in Uzbekistan, works through the New Tashkent Directorate.",Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,,"London, United Kingdom (project office linked to New Tashkent Directorate, Tashkent)",Website,English,https://en.wikipedia.org/wiki/New_Tashkent; https://cross-works.com/news/cross-works-new-tashkent-district-1-is-officially-approved; https://newtashkent.uz/ru/our-partners/partners,Not determinable,"Masterplan for a 25,000-hectare, 2.5 million-resident 'twin city' east of Tashkent | District 1 Detailed Masterplan officially approved June 2024 | Leads a multidisciplinary international consortium (engineering, landscape, advisory) for New Tashkent","Led by architect/urban planner Hakan Ceyhan Agca. First phase covers ~6,000 ha (target 2045); District 1 detailed plan covers a subset of that. Project overall targets 2.5M residents on 25,000 ha; government figures cite up to 19,720-20,000 ha total. Officially listed as a partner on newtashkent.uz."
No,Buro Happold,Tashkent,Architecture Studio,Engineering / masterplanning consultancy,C. Boutique Interior Design & Architecture Studios,Projects - New Tashkent,"Engaged by Cross Works to deliver a comprehensive strategic review and engineering input for the New Tashkent Masterplan (infrastructure, sustainability, feasibility).",Not determinable,"International engineering consultancy; no showroom/exhibition space identified, consultancy-only role.",Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,,"International (project delivered remotely / via New Tashkent Directorate, Tashkent)",Website,English,https://www.burohappold.com/projects/new-tashkent-masterplan/; https://newtashkent.uz/ru/our-partners/partners,Not determinable,"First 6,000 hectares of New Tashkent planned for development by 2045 | Delivered strategic review of the masterplan for infrastructure and sustainability | Official partner of the New Tashkent Directorate (quote from Simon Pilkington)","Named consortium member under Cross Works' New Tashkent District 1 masterplan team, alongside Gillespies, KPMG Uzbekistan and BuroAtlas."
No,Gillespies,Tashkent,Architecture Studio,Landscape architecture,C. Boutique Interior Design & Architecture Studios,Projects - New Tashkent,"Landscape architecture and urban design consortium member under Cross Works for the New Tashkent masterplan (parks, green belt, public realm).",Not determinable,UK landscape architecture practice; no exhibition space identified locally.,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,,"United Kingdom (project office linked to New Tashkent Directorate, Tashkent)",Website,English,https://www.gillespies.co.uk/; https://newtashkent.uz/ru/our-partners/partners; https://www.youtube.com/watch?v=C538LQhQU6Y,Not determinable,"Part of the Cross Works-led consortium for New Tashkent District 1 | Focus on landscape planning: 420-hectare Central Park, green belt, canals/lakes | Officially listed partner of the New Tashkent Directorate","New Tashkent's 'green city' concept includes a 420-hectare Central Park and ~30% of territory reserved for parks/squares, within Gillespies' scope."
No,BuroAtlas,Tashkent,Architecture Studio,,C. Boutique Interior Design & Architecture Studios,Projects - New Tashkent,Architecture/urban design partner within the Cross Works-led consortium for New Tashkent; founder quoted directly by the official Directorate as a project partner.,Not determinable,No showroom/exhibition space identified; design consultancy.,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,,Not determinable,Website,Russian/Uzbek,https://www.buroatlas.pro/; https://newtashkent.uz/ru/our-partners/partners,Not determinable,"New Tashkent described as 'a model of a new purpose-built city environment' combining top global practices | Emphasis on modern masterplanning, ecological approaches and technology | Officially listed partner of the New Tashkent Directorate",Founder/CEO Aleksandra Sitnikova quoted on newtashkent.uz partners page endorsing the project.
No,Meinhardt Group,Tashkent,Architecture Studio,Engineering & investment consultancy,C. Boutique Interior Design & Architecture Studios,Projects - New Tashkent,"Engaged (2023 agreement, ~$1B) to help design the general masterplan of Phase 1 of the New Tashkent smart city and establish a joint design/engineering center with Uzbekistan; later listed as an official Directorate partner.",Not determinable,Singapore-headquartered engineering/investment firm; no local showroom identified.,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,,"Singapore (regional engagement via New Tashkent Directorate, Tashkent)",Website,Russian,https://www.gazeta.uz/ru/2023/01/19/new-tashkent/; https://newtashkent.uz/ru/our-partners/partners,Not determinable,Signed ~$1B agreement to design Phase 1 masterplan of the 'smart city' New Tashkent | Joint Uzbekistan-Singapore design and engineering center announced | Executive director Omar Shahzad quoted as official Directorate partner,"510+ large infrastructure/industrial projects worldwide per company profile; ~5,000 employees. Agreement covered masterplan concept (Apr-May 2023) and detailed planning (Jul-Oct 2023) for Phase 1."
No,Zaha Hadid Architects,Tashkent,Architecture Studio,,C. Boutique Interior Design & Architecture Studios,Projects - New Tashkent,"Designing the Alisher Navoi International Scientific Research Centre in New Tashkent's cultural quarter (museum, auditorium, research center, residential school for 200 students), a landmark cultural building within the masterplan.",Not determinable,Global architecture firm; no local Tashkent showroom identified; design office only.,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,,"London, United Kingdom",Website,English,https://www.zha.com/projects/architecture/alisher-navoi-international-scientific-research-centre; https://newtashkent.uz/ru/our-partners/partners,Sculptural brickwork facade (per project description),"Anchors the new cultural quarter within the 25,000-hectare New Tashkent masterplan | 23,000-29,000 sqm complex: Navoi State Museum of Literature, 400-seat auditorium, research center, school for 200 students | Officially listed partner of the New Tashkent Directorate (quote from director Paolo Matteuzzi)","One of the flagship 'signature' cultural buildings of New Tashkent's first phase; site area cited variably as 23,000 sqm or 29,000 sqm across sources."
No,Dome+Partners,Tashkent,Architecture Studio,,C. Boutique Interior Design & Architecture Studios,Projects - New Tashkent,"Officially listed partner of the New Tashkent Directorate; Istanbul-based firm with offices in Uzbekistan and Kazakhstan, previously delivered an 80,000 sqm mixed-use project (residential/commercial/office) for a private investor in Tashkent.",Not determinable,"Has a local Uzbekistan office per its own description, but no confirmed public showroom.",Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,,"Istanbul, Turkey (offices also in Uzbekistan and Kazakhstan)",Website,Uzbek,https://newtashkent.uz/ru/our-partners/partners; https://dome.ws/; https://www.instagram.com/p/ChJxh4-tZxg/,Not determinable,"20+ year track record of 'inspiring, innovative' architecture across Turkey/Central Asia | Officially listed as a partner ('Hamkor') of the New Tashkent Directorate | Prior 80,000 sqm mixed-use project for a private investor in Tashkent",Specific building assignment within New Tashkent not publicly confirmed beyond official partner listing; included due to explicit Directorate partnership.
No,Kentsel Strateji (Ali Faruk Göksü),Tashkent,Architecture Studio,Urban planning / strategy consultancy,C. Boutique Interior Design & Architecture Studios,Projects - New Tashkent,Urban strategy partner of the New Tashkent Directorate; founder Ali Faruk Göksü quoted on positioning New Tashkent within a 'Urban Renaissance' movement harmonizing old and new Tashkent.,Not determinable,Turkish urban-strategy consultancy; no showroom/exhibition identified.,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,,Turkey,Website,Uzbek,https://newtashkent.uz/ru/our-partners/partners; https://kentselstrateji.com/en/projects/,Not determinable,New Tashkent framed as symbol of the 'Urban Renaissance' movement | Advocates ecologically smart design and new-generation economy for the project | Officially listed partner of the New Tashkent Directorate,Founding partner role; specific deliverable(s) within New Tashkent not itemized in sources found.
No,GAD Architecture,Tashkent,Architecture Studio,,C. Boutique Interior Design & Architecture Studios,Projects - New Tashkent,"Authored a 'New Tashkent City' masterplan proposal/vision (published 2024) addressing infrastructure, sustainability, mixed-use zoning and heritage preservation for the same New Tashkent territory; not confirmed as the officially adopted plan (Cross Works holds the approved District 1 masterplan).",Not determinable,Turkish architecture firm; no exhibition/showroom space identified for this project.,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,,"Istanbul, Turkey",Website,English,https://archello.com/project/new-tashkent-city; https://archello.com/brand/gad-architecture,Not determinable,"Masterplan vision for 'a new phase in the development of Tashkent' | Emphasis on sustainable development, green corridors, affordable housing | Double-skin facade strategy proposed for high-rise buildings",Not listed among the official newtashkent.uz partners; likely an early competing/alternate masterplan proposal rather than the adopted plan. Included due to explicit direct authorship of a 'New Tashkent City' masterplan.
No,Benoy,Tashkent,Architecture Studio,Masterplanning / landscape architecture,C. Boutique Interior Design & Architecture Studios,Projects - New Tashkent,"Produced an early 1:25,000 pre-concept masterplan ('Tashkent New City') for the 20,000-hectare New Tashkent site, approved at a high level by the President and Mayor of Tashkent, ahead of the later Cross Works-led detailed masterplan.",Not determinable,Global masterplanning firm (Dubai/London/Shanghai/Singapore offices); no exhibition space identified for this project.,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,marketing@benoy.com,,"Dubai, UAE (regional office) / London, Nottinghamshire, Mumbai, Shanghai, Singapore",Website,English,https://www.benoy.com/projects/tashkent-new-city/,Not determinable,"Vision for a 'new twin capital' east of Tashkent between the Chirchiq and Karasu rivers | First phase includes Airport City, Trade District, CBD and 300-hectare Administrative District | Masterplan approved by the President of Uzbekistan and Mayor of Tashkent at high level","Described project scale as 200,000,000 sqm on 20,000 hectares. Appears to be an earlier pre-concept stage, later superseded/complemented by Cross Works' more detailed District 1 masterplan."
Yes,AL-BINA Development,Tashkent,Developer,,E. Developers & Project Ecosystem,Projects - New Tashkent,"Developer / strategic partner (sales, marketing, positioning) for Crystal Avenue, a premium/business-class residential complex in New Tashkent District 1, in partnership with UET Construction and IMAN Holding; also partners with BI Group and NRG on other Tashkent-area projects.",Yes,"Central sales office ('Центральный офис продаж AL-BINA') at ЖК U-Tower, Tashkent, plus a dedicated Crystal Avenue sales office in New Tashkent.",High,Premium / business-class positioning (no published price list found),Design+Build+Develop,,+998 71 205 10 68,"Central sales office: ЖК U-Tower, Tashkent; project sales office: Crystal Avenue, New Tashkent",Instagram,Russian,https://www.instagram.com/al_bina.uz/; https://www.gazeta.uz/ru/2025/12/01/crystal-avenue/; https://crystal-avenue.uz/,Not determinable,Crystal Avenue positioned as 'the main avenue of the new capital' / 'smart luxury' | Strategic partnership with IMAN Holding announced for flexible payment/investment products | Sales for Crystal Avenue launched 6 December 2025,"Crystal Avenue located in District 1, New Tashkent's key growth cluster; described as AL-BINA's/UET's first business-class project in New Tashkent. AL-BINA's wider Tashkent portfolio (Maftun Makon, Flagman, 4U Tashkent with NRG-BI) appears located in a separate 'New Uzbekistan' district near Yashnabad/Olympic town, not confirmed as part of New Tashkent."
Yes,UET Construction,Tashkent,Hybrid,Contractor + Developer (EPC/construction company acting as co-developer),E. Developers & Project Ecosystem,Projects - New Tashkent,"General contractor and project originator for Crystal Avenue, a premium residential complex in New Tashkent District 1, in partnership with AL-BINA Development (sales/marketing) and IMAN Holding.",Yes,Shares the Crystal Avenue project sales office in New Tashkent with AL-BINA; formal project presentation event held on-site at the New Tashkent Directorate (29 Nov 2025).,Medium,Not determinable,Design+Build+Develop,info@uetconstruction.com,+998 77 443 00 33 / +998 55 519 06 06,"HQ: Tashkent, Yakkasaray district, Abdulla Kahhara St 17; Crystal Avenue sales office, New Tashkent District 1",Multiple,English,https://uetconstruction.com/en/uet-construction-predstavila-proekt-crystal-avenue-premialnyj-zhiloj-kompleks-v-novom-tashkente/; https://www.linkedin.com/posts/uet-construction_uet-construction-is-proud-to-announce-the-activity-7401554215828885505-0ncq,Not determinable,Officially entered residential/commercial real estate with Crystal Avenue as its flagship project | Self-describes as a fast-growing engineering & construction (EPC) company | Crystal Avenue unveiled as 'a premium residential complex in New Tashkent',"Company site (uetconstruction.com) frames itself around 'Integrated EPC solutions for energy and...' sectors, with Crystal Avenue as its entry into residential development in New Tashkent. | v2.0 update: HQ contact confirmed via uetconstruction.com (ISO 14001/45001/9001 certified; owns Chirchik Metal Structures Plant production asset)."
No,BI Group,Tashkent,Hybrid,"Developer + Contractor (integrated development, engineering, construction group)",E. Developers & Project Ecosystem,Projects - New Tashkent,"Began construction of the 'Ostona' residential district (launched under this name Nov 2025) directly within New Tashkent; first phase covers a 10-hectare site valued at ~$200M, with roughly 3,000 apartments planned. Also active in Tashkent more broadly (NRG-BI joint brand, Botanika Saroyi, Oybek).",Not determinable,Large regional developer with sales offices across Tashkent (via NRG-BI brand); no showroom specifically confirmed for the New Tashkent 'Astana' site yet (early construction phase).,Medium,Not determinable,Design+Build+Develop,,,"Tashkent, Uzbekistan (regional HQ: Astana, Kazakhstan)",Website,English,https://bi.group/en/news/bi-group-nachinaet-stroitelstvo-kvartala-astana-v-novom-tashkente; https://www.linkedin.com/posts/farkhodjon-israilov-66b363151_bi-group-expands-in-uzbekistan-new-deal-activity-7396222675246895104-yD59,Not determinable,"'BI Group Begins Construction of the Astana District in New Tashkent' | First phase: 10-hectare site, project value ~$200 million | Self-described as the '#1 Developer in Central Asia'","~3,000 apartments planned for the 'Astana' district in New Tashkent per YouTube coverage of the construction launch. Distinct from BI Group/NRG's Maftun Makon and Flagman projects, which appear to sit in a separate area near the Olympic town/New Uzbekistan district, not confirmed as New Tashkent. | v2.0 update: project confirmed under the name ""Ostona"" at its official Nov 2025 launch (spot.uz), majority shareholder/chairman Oydin Rahimboyev, refined figures: 3,162 apartments, 10.5 ha phase 1, $200M investment, construction started Nov 2025. (Earlier working name ""Astana district"" in original scrape appears to be the same project.)"
No,Sharq Bahori,Tashkent,Developer,,E. Developers & Project Ecosystem,Projects - New Tashkent,"Developer of the 'Sharq Bahori' smart-home residential project (two phases: Sharq Bahori 1 and 2) located directly within New Tashkent; professional building management to be handled by the New Tashkent Construction Directorate itself, and the project is featured with its own logo in the Directorate's official site header.",Not determinable,"Has a 'sale office' in New Tashkent per its website contact section, but no explicit showroom/model-apartment confirmed in sources reviewed.",Medium,Not determinable (no published price list),Design+Build+Develop,info@sharqbahoriuylari.com,+998 55 901 2222,"Sale office, New Tashkent, Uzbekistan",Website,English,https://sharqbahoriuylari.com/; https://newtashkent.uz/ru/about/about-district/information-about-district,Laminate parquet; ceramic finishes; German-standard windows and joinery; triple-layer XPS insulation,"'The future lives here' - modern & smart residences in New Tashkent | Positioned as a '15-minute city' within New Tashkent, 100m from a metro station | Smart home system (Zigbee protocol), face-ID entry, license-plate recognition parking","Community amenities listed relative to New Tashkent landmarks: Ministry buildings 700m, National Library 1.5km, New Business District 3km, New Tashkent Airport 8.4km. Featured prominently (own logo) in the header of the official newtashkent.uz Directorate website, suggesting a flagship/showcase status."
No,Studia 54,Tashkent,Interior Designer,,C. Boutique Interior Design & Architecture Studios,Projects - New Tashkent,"Interior design bureau (Russia/Dubai-based) contracted for the interior of a premium residential complex in New Tashkent, including lobby, lounge areas and resident common spaces styled after high-end international hotels.",Not determinable,"No physical showroom in Uzbekistan; studio operates from Saint Petersburg (Russia) with a Dubai (UAE) representative office; the specific New Tashkent portfolio page was unavailable (404) at time of research, project confirmed via the studio's own social post.",High,Premium/luxury positioning,Design only,welcome@studia-54.com,+7 (931) 270 54 54 (Russia); +971 (58) 562-45-54 (Dubai),"191014, Saint Petersburg, Novgorodskaya 23A, office 340, Russia; DMCC, Dubai, UAE (representative office)",Multiple,Russian,https://vk.com/wall-107858900_3721; https://studia-54.com/,"Not determinable (project page unavailable); described generically as 'natural materials, custom lighting installations, collectible furniture'","'New Tashkent you haven't seen yet' - interior of a premium residential complex in New Tashkent | Concept built around the atmosphere of the world's best hotels | Special focus on lobby, lounge zones and resident meeting spaces, not just individual apartments","Which specific New Tashkent residential complex this interior belongs to (e.g. Crystal Avenue or another) was not confirmed - the studio's dedicated project page returned a 404 error; relationship to New Tashkent established via the firm's own VK announcement post dated 22 June (year not specified in scrape) with URL slug 'interer-premialnogo-zhilogo-kompleksa-v-novom-tashkente-uzbekistan' (interior of a premium residential complex in New Tashkent, Uzbekistan)."
Yes,Wallmann,Tashkent,Kitchen,,F. Value/Mid Kitchen & Custom Furniture Manufacturers,Retail,,No determinable,"Online catalog with named kitchen collections (Brest, Memfis, Arkadiya, Gradislava, Dianta, Grado, Kale, Medina); no address found in scraped content, manages sales via Telegram manager (403-blocked direct WebFetch, obtained via Firecrawl scrape).",Medium,"Flat rate across all named collections: 4,400,000 сум per linear meter, no premium-tier differentiation visible.",Design+Install+Supply,,+998 97 402 55 48 / +998 97 402 55 49,Tashkent (exact showroom address not confirmed in scrape),Website,Russian,https://wallmann.uz/kuhni,Not specified beyond model names,Wide named-collection catalog; installment plan (рассрочка) offered; warranty badge on every product,"Also sells bedroom sets, sofas, wardrobes, office furniture. Found via WebSearch ""кухни на заказ Ташкент""."
Yes,SMebel (Smebel.uz),Tashkent,Kitchen,,F. Value/Mid Kitchen & Custom Furniture Manufacturers,Retail,,Yes,"Published address with map link and business hours (Mon-Sat 10:00-19:00), Yashnabad District, near Parkent Market.",Low,"From 3,500,000 сум/linear meter; furniture range 1.2M-18M сум; LMDF/LDSP materials (budget-standard).",Design+Install+Supply,,+998 99 316 22 66,"Tashkent, Yashnabad District, M. Riziyi massif 31, apt 2",Website,Russian,https://smebel.uz/kuhni,"LMDF, LDSP, acrylic","""Кухни на заказ от производителя""; 7-20 day production","Also IG @smebel.uz, TG @Smebeluz."
No,Best Mebel,Tashkent,Kitchen,,F. Value/Mid Kitchen & Custom Furniture Manufacturers,Retail,,Yes,"Physical address given (Yashnobodskyy district, Mukhtar Ashrafiy 110, near rail crossing).",Low,"Explicit positioning: ""minimum prices in Tashkent""; from 3,500,001 сум/linear meter.",Design+Install+Supply,,+998 99 402 06 84 / +998 93 519 66 88,"Tashkent, Yashnobodskyy district, Mukhtar Ashrafiy St 110",Website,Russian,https://bestmebel.uz/category/kuxni,"Acrylic, MDF, LDSP","Shortest manufacturing times; free delivery/install; 34+ models, incl. studio-kitchen line","Also has a dedicated ""kitchens for studio apartments"" line (bestmebel.uz/category/kuhni-dlya-studii) - relevant given compact New Tashkent apartment formats."
No,Perfect Mebel,Tashkent,Kitchen,,F. Value/Mid Kitchen & Custom Furniture Manufacturers,Retail,,Yes,Free specialist home-visit/measurement service implies real operating base; no street address in scrape.,Medium,"4,000,000-4,500,000 сум per linear meter.",Design+Install+Supply,,+998 97 781 11 81 / +998 94 666 66 25,Tashkent (exact address not confirmed),Website,Russian,https://perfectmebel.uz/kuhnya,"LMDF, acrylic, soft-close hardware","""Идеальная мебель в вашем доме""; free design consultation",
Yes,YU Mebel,Tashkent,Kitchen,,B. Premium Kitchen & Custom Furniture Studios,Retail,,Yes,"Address given: Yunusabad District, Chinabad St 51.",High,"Self-described ""premium-class designer furniture factory""; European suppliers (Turkey/Austria/Germany/France/Russia); 5-year warranty.",Design+Install+Supply,,+998 98 333-66-63 / +998 93 395-66-63,"Tashkent, Yunusabad District, Chinabad St 51",Website,Russian,http://yumebel.uz/kuhni-na-zakaz-v-tashkente/,"MDF, LMDF, LDSP, veneer, Schneider Electric lighting",15 years experience; 85% of customers choose us; free measurement/delivery/install,"TG @yu_mebel1, @yu_mebel_channel, IG @yu_mebel."
Yes,FullHouse,Tashkent,Kitchen,,B. Premium Kitchen & Custom Furniture Studios,Retail,,Yes,"Showroom inside Arca Shopping Center, Makhtumkuli St 75, floor -1.",Medium,"Wide range 5,850,000-55,991,000 сум (~$450-$4,300); premium tier via stone countertop/veneer upsell.",Design+Install+Supply,info@fullhouse.uz,+998 97 716-79-09,"Tashkent, Makhtumkuli St 75, Arca Shopping Center, floor -1",Website,Russian,https://fullhouse.uz/mebel-dlya-kukhni-na-zakaz-v-tashkente,"Egger (Germany) boards, GTV (Poland)/Blum (Austria) hardware, stone countertops",1000+ cabinets produced; built-in solutions for small spaces,"Shopping-center location = high foot traffic showroom, good candidate for material display."
No,Lamebel,Tashkent,Kitchen,,B. Premium Kitchen & Custom Furniture Studios,Retail,,Yes,"Showroom inside Atrium Shopping Center, near Ashkhabad Park / Tashselmash intersection; daily hours 10:00-20:00.",Medium,"6.3M-9.5M сум (~$500-750); claims ""expensive raw materials"".",Design+Install+Supply,info@lamebel.uz,+998 90 011 31 00,"Tashkent, Atrium Shopping Center",Website,Russian,https://lamebel.uz/category/kuhni/,"Not specified (proprietary model names: Mayen, Limoges, Monaco)",Free designer visit; also sofas/bedroom/living/office lines,"TG @lamebeluz, IG @lamebel_uz, FB lamebel.tashkent."
No,Vashamebel,Tashkent,Kitchen,,F. Value/Mid Kitchen & Custom Furniture Manufacturers,Retail,,Yes,"Address given: Yashnobod District, Military Town 58, 114a; free measurement visits implied showroom base.",Low,"From 1,800,000 сум/linear meter - lowest entry price of all Tashkent kitchen studios found this pass.",Design+Install+Supply,info@mebel.com,+998 93 517-32-12,"Tashkent, Yashnobod District, Military Town 58, 114a",Website,Russian,https://vashamebel.uz/kuhni,"MDF/LMDF, acrylic, veneer, painted surfaces","""European quality"", 18-month guarantee, discounts for new homeowners",
